,file_name,Country,ISO3,folder,Survey_num
6,HTGE6AFLSR.zip,Haiti,HTI,HTI2013SPA,442
7,HTGE7BFLSR.zip,Haiti,HTI,HTI2017SPA,532
24,IDOD7ADT.zip,Indonesia,IDN,IND2017Special,544
23,IDOD6CDT.zip,Indonesia,IDN,IND2012Special,460
22,IDOD5ADT.zip,Indonesia,IDN,IND2007Special,335
21,IDOD4ADT.zip,Indonesia,IDN,IND2002Special,221
8,KEGE6AFLSR.zip,Kenya,KEN,KEN2010SPA,347
27,MWML34DT.zip,Malawi,MWI,MWI1996KAP,84
26,MWIQ34DT.zip,Malawi,MWI,MWI1996KAP,84
25,MWHH34DT.zip,Malawi,MWI,MWI1996KAP,84
9,MWGE6IFLSR.zip,Malawi,MWI,MWI2013SPA,424
28,MLPR61DT.zip,Mali,MLI,MLI2010Special,387
0,MLHR61DT.zip,Mali,MLI,MLI2010Special,387
10,MLGE63FL.zip,Mali,MLI,MLI2010Special,387
30,MAIQ33DT.zip,Morocco,MAR,MAR1995DHS,75
29,MAHH33DT.zip,Morocco,MAR,MAR1995DHS,75
11,NMGE6AFLSR.zip,Namibia,NAM,NAM2009SPA,281
13,NPGE8AFLSR.zip,Nepal,NPL,NPL2021SPA,561
12,NPGE71FLSR.zip,Nepal,NPL,NPL2015SPA,400
31,NPOD01DT.zip,Nepal,NPL,NPL1987InDepth,10
33,OSHH01DT.zip,Nigeria (Ondo State),NGA,NGA1986Special,8
32,OSBR01DT.zip,Nigeria (Ondo State),NGA,NGA1986Special,8
1,OSIR01DT.zip,Nigeria (Ondo State),NGA,NGA1986Special,8
2,OSKR01DT.zip,Nigeria (Ondo State),NGA,NGA1986Special,8
34,OSHW01DT.zip,Nigeria (Ondo State),NGA,NGA1986Special,8
35,PKHH7ADT.zip,Pakistan,PAK,PAK2019Special,552
39,PKVA7ADT.zip,Pakistan,PAK,PAK2019Special,552
38,PKSQ7ADT.zip,Pakistan,PAK,PAK2019Special,552
37,PKOD7ADT.zip,Pakistan,PAK,PAK2019Special,552
36,PKIQ7ADT.zip,Pakistan,PAK,PAK2019Special,552
41,RWIQ6ADT.zip,Rwanda,RWA,RWA2011Special,422
40,RWHH6ADT.zip,Rwanda,RWA,RWA2011Special,422
16,SNGE7AFLSR.zip,Senegal,SEN,SEN2015SPA,496
15,SNGE71FLSR.zip,Senegal,SEN,SEN2016SPA,458
14,SNGE6IFLSR.zip,Senegal,SEN,SEN2012SPA,444
44,SNML41DT.zip,Senegal,SEN,SEN1999DHS,166
18,SNGE7RFLSR.zip,Senegal,SEN,SEN2017SPA,535
42,SNHH41DT.zip,Senegal,SEN,SEN1999DHS,166
43,SNIQ41DT.zip,Senegal,SEN,SEN1999DHS,166
17,SNGE7IFLSR.zip,Senegal,SEN,SEN2016SPA,513
19,TZGE71FLSR.zip,Tanzania,TZA,TZA2014SPA,401
47,TZML31DT.zip,Tanzania,TZA,TZAZ1994KAP,67
46,TZIQ31DT.zip,Tanzania,TZA,TZAZ1994KAP,67
45,TZHH31DT.zip,Tanzania,TZA,TZAZ1994KAP,67
48,TRBR71DT.zip,Turkey,TUR,TUR2018DHS,548
49,TRPR71DT.zip,Turkey,TUR,TUR2018DHS,548
3,TRHR71DT.zip,Turkey,TUR,TUR2018DHS,548
5,TRKR71DT.zip,Turkey,TUR,TUR2018DHS,548
4,TRIR71DT.zip,Turkey,TUR,TUR2018DHS,548
50,UGHH3ADT.zip,Uganda,UGA,UGA1995InDepth,133
51,UGIQ3BDT.zip,Uganda,UGA,UGA1995InDepth,133
52,UGML3ADT.zip,Uganda,UGA,UGA1995InDepth,133
20,UZGE42FL.zip,Uzbekistan,UZB,UZB2002Special,213
54,UZIQ49DT.zip,Uzbekistan,UZB,UZB2002Special,213
53,UZHH49DT.zip,Uzbekistan,UZB,UZB2002Special,213
55,UZML49DT.zip,Uzbekistan,UZB,UZB2002Special,213