survey,round,region,country,year,status,reports,"mics datasets",gis
"Viet Nam",MICS7,"East Asia and Pacific","Viet Nam",2027,"Survey design",,,
Armenia,MICS7,"Europe and Central Asia",Armenia,2026,"Survey design",,,
Tuvalu,MICS7,"East Asia and Pacific",Tuvalu,2026,"Survey design",,,
Fiji,MICS7,"East Asia and Pacific",Fiji,2026,"Survey design",,,
Kiribati,MICS7,"East Asia and Pacific",Kiribati,2026,"Survey design",,,
Guinea-Bissau,MICS7,"West and Central Africa",Guinea-Bissau,2026,"Survey design",,,
Sudan,MICS7,"Middle East and North Africa",Sudan,2025,"On hold",,,
Albania,MICS7,"Europe and Central Asia",Albania,2025,"Survey design",,,
Nigeria,MICS7,"West and Central Africa",Nigeria,2025-2026,"Survey design",,,
Bangladesh,MICS7,"South Asia",Bangladesh,2025,"Data collection",,,
Mauritania,MICS7,"West and Central Africa",Mauritania,2025-2026,"Survey design",,,
Nepal,MICS7,"South Asia",Nepal,2025,"Data collection",,,
Cuba,MICS7,"Latin America and Caribbean",Cuba,2025,"Survey design",,,
"Pakistan (Sindh)",MICS7,"South Asia",Pakistan,2025,"Survey design",,,
Morocco,MICS7,"Middle East and North Africa",Morocco,2025,"Survey design",,,
Panama,MICS7,"Latin America and Caribbean",Panama,2025,"Survey design",,,
"Sierra Leone",MICS7,"West and Central Africa","Sierra Leone",2025,"Survey design",,,
Zimbabwe,MICS7,"Eastern and Southern Africa",Zimbabwe,2025,"Survey design",,,
Guatemala,MICS7,"Latin America and Caribbean",Guatemala,2025,"Survey design",,,
Montenegro,MICS7,"Europe and Central Asia",Montenegro,2025,"Survey design",,,
"Federated States of Micronesia",MICS7,"East Asia and Pacific","Federated States of Micronesia",2025,"Data collection",,,
Ghana,MICS7,"West and Central Africa",Ghana,2025,"Survey design",,,
"Marshall Islands, Republic of",MICS7,"East Asia and Pacific","Marshall Islands",2025,"Survey design",,,
Serbia,MICS7,"Europe and Central Asia",Serbia,2025,"Survey design",,,
"Kosovo under UNSC res. 1244",MICS7,"Europe and Central Asia","Kosovo (UNSC 1244)",2025,"Survey design",,,
Ukraine,MICS7,"Europe and Central Asia",Ukraine,2025,"Survey design",,,
Samoa,MICS7,"East Asia and Pacific",Samoa,2025,"Survey design",,,
Gambia,MICS7,"West and Central Africa",Gambia,2025,"Survey design",,,
"Saint Lucia",MICS7,"Latin America and Caribbean","Saint Lucia",2025,"Survey design",,,
"Saudi Arabia",MICS7,"Middle East and North Africa","Saudi Arabia",2025,"Survey design",,,
Iraq,MICS7,"Middle East and North Africa",Iraq,2025,"Survey design",,,
"Dominican Republic",MICS7,"Latin America and Caribbean","Dominican Republic",2025,"Survey design",,,
Somalia,MICS7,"Eastern and Southern Africa",Somalia,2025,"Survey design",,,
Cameroon,MICS7,"West and Central Africa",Cameroon,2025,"Survey design",,,
"State of Palestine",MICS7,"Middle East and North Africa","State of Palestine",2025,"On hold",,,
"South Sudan, Republic of",MICS7,"Eastern and Southern Africa","South Sudan",2025,"Survey design",,,
"Pakistan (Gilgit-Baltistan)",MICS7,"South Asia",Pakistan,2024-2025,"Data processing / analysis","Not yet available","Not yet available",
"Pakistan (Punjab)",MICS7,"South Asia",Pakistan,2024,"Data processing / analysis","Key findings are available","Not yet available",
Kazakhstan,MICS7,"Europe and Central Asia",Kazakhstan,2024,"Data processing / analysis","Not yet available","Not yet available",
Turkmenistan,MICS7,"Europe and Central Asia",Turkmenistan,2024,"Data processing / analysis","Not yet available","Not yet available",
Belize,MICS7,"Latin America and Caribbean",Belize,2024,"Data processing / analysis","Not yet available","Not yet available",
Tonga,MICS7,"East Asia and Pacific",Tonga,2024,"Data processing / analysis","Not yet available","Not yet available",
Madagascar,MICS7,"Eastern and Southern Africa",Madagascar,2024-2025,"Data collection",,,
Libya,MICS7,"Middle East and North Africa",Libya,2024-2025,"Data processing / analysis","Not yet available","Not yet available",
Tunisia,MICS6,"Middle East and North Africa",Tunisia,2023,Completed,"Snapshots are available",Available,
"Lao People's Democratic Republic",MICS6,"East Asia and Pacific","Lao People's Democratic Republic",2023,Completed,"Key indicators, Survey findings, Snapshots are available",Available,
Azerbaijan,MICS6,"Europe and Central Asia",Azerbaijan,2023,Completed,"Survey findings, Snapshots, Global note are available",Available,
Nicaragua,MICS6,"Latin America and Caribbean",Nicaragua,2023,"Data processing / analysis","Not yet available","Not yet available",
Nauru,MICS6,"East Asia and Pacific",Nauru,2023,Completed,"Survey findings, Snapshots are available",Available,
Mongolia,MICS7,"East Asia and Pacific",Mongolia,2023,"Data processing / analysis","Key indicators are available","Not yet available",
Kyrgyzstan,MICS6,"Europe and Central Asia",Kyrgyzstan,2023,Completed,"Survey findings, Snapshots are available",Available,
Lebanon,MICS6,"Middle East and North Africa",Lebanon,2023,"Data processing / analysis","Not yet available","Not yet available",
Qatar,MICS6,"Middle East and North Africa",Qatar,2023,Completed,"Snapshots, Survey findings are available","Not yet available",
Vanuatu,MICS6,"East Asia and Pacific",Vanuatu,2023,Completed,"Survey findings, Snapshots are available",Available,
Comoros,MICS6,"Eastern and Southern Africa",Comoros,2022,Completed,"Snapshots, Survey findings are available",Available,Available
Yemen,MICS6,"Middle East and North Africa",Yemen,2022-2023,Completed,"Snapshots, Survey findings are available",Available,
Afghanistan,MICS6,"South Asia",Afghanistan,2022-2023,Completed,"Summary, Survey findings are available",Available,
Jamaica,MICS6,"Latin America and Caribbean",Jamaica,2022,Completed,"Snapshots, Survey findings are available",Available,
"Trinidad and Tobago",MICS6,"Latin America and Caribbean","Trinidad & Tobago",2022,Completed,"Snapshots, Survey findings are available",Available,
Thailand,MICS6,"East Asia and Pacific",Thailand,2022,Completed,"Key indicators, Survey findings, Snapshots are available",Available,Available
Fiji,MICS6,"East Asia and Pacific",Fiji,2021,Completed,"Preliminary report, Snapshots, Survey findings are available",Available,Available
Eswatini,MICS6,"Eastern and Southern Africa",Eswatini,2021-2022,Completed,"Snapshots, Survey findings are available",Available,Available
Nigeria,MICS6,"West and Central Africa",Nigeria,2021,Completed,"Snapshots, Survey findings are available",Available,Available
Benin,MICS6,"West and Central Africa",Benin,2021-2022,Completed,"Snapshots, Survey findings are available",Available,
Uzbekistan,MICS6,"Europe and Central Asia",Uzbekistan,2021-2022,Completed,"Snapshots, Survey findings are available",Available,
"Viet Nam",MICS6,"East Asia and Pacific","Viet Nam",2020-2021,Completed,"Key indicators, Snapshots, Survey findings are available",Available,
"Serbia (Roma Settlements)",MICS6,"Europe and Central Asia",Serbia,2019,Completed,"Snapshots, Survey findings are available",Available,
Cuba,MICS6,"Latin America and Caribbean",Cuba,2019,Completed,"Survey findings are available",Available,
Serbia,MICS6,"Europe and Central Asia",Serbia,2019,Completed,"Snapshots, Survey findings are available",Available,
"Dominican Republic",MICS6,"Latin America and Caribbean","Dominican Republic",2019,Completed,"Snapshots and tables, Survey findings are available",Available,
Guyana,MICS6,"Latin America and Caribbean",Guyana,2019-2020,Completed,"Survey findings are available",Available,
Bangladesh,MICS6,"South Asia",Bangladesh,2019,Completed,"Snapshots, Survey findings are available",Available,
Malawi,MICS6,"Eastern and Southern Africa",Malawi,2019-2020,Completed,"Snapshots, Survey findings are available",Available,Available
Honduras,MICS6,"Latin America and Caribbean",Honduras,2019,Completed,"Snapshots, Survey findings are available",Available,
Nepal,MICS6,"South Asia",Nepal,2019,Completed,"Snapshots, Survey findings are available",Available,
Zimbabwe,MICS6,"Eastern and Southern Africa",Zimbabwe,2019,Completed,"Snapshots, Survey findings are available",Available,Available
"Sao Tome and Principe",MICS6,"West and Central Africa","Sao Tome & Principe",2019,Completed,"Snapshots, Survey findings are available",Available,
Belarus,MICS6,"Europe and Central Asia",Belarus,2019,Completed,"Snapshots, Survey findings are available",Available,
Samoa,MICS6,"East Asia and Pacific",Samoa,2019-2020,Completed,"Preliminary report, Snapshots, Survey findings are available",Available,
"Kosovo under UNSC res. 1244 (Roma, Ashkali, and Egyptian Communities)",MICS6,"Europe and Central Asia","Kosovo (UNSC 1244)",2019-2020,Completed,"Snapshots, Survey findings are available",Available,
"Turks and Caicos Islands",MICS6,"Latin America and Caribbean","Turks and Caicos Islands",2019-2020,Completed,"Snapshots, Survey findings are available",Available,
"Pakistan (Balochistan)",MICS6,"South Asia",Pakistan,2019-2020,Completed,"Key findings, Snapshots, Survey findings are available",Available,
Thailand,MICS6,"East Asia and Pacific",Thailand,2019,Completed,"Key indicators, Snapshots, Survey findings are available",Available,
"Kosovo under UNSC res. 1244",MICS6,"Europe and Central Asia","Kosovo (UNSC 1244)",2019-2020,Completed,"Snapshots, Survey findings are available",Available,Available
"Pakistan (Khyber Pakhtunkhwa)",MICS6,"South Asia",Pakistan,2019,Completed,"Snapshots, Survey findings are available",Available,
Tonga,MICS6,"East Asia and Pacific",Tonga,2019,Completed,"Preliminary, Snapshots, Survey findings are available",Available,
Tuvalu,MICS6,"East Asia and Pacific",Tuvalu,2019-2020,Completed,"Snapshots, Survey findings are available",Available,
Turkmenistan,MICS6,"Europe and Central Asia",Turkmenistan,2019,Completed,"Snapshots, Survey findings are available",Available,
"State of Palestine",MICS6,"Middle East and North Africa","State of Palestine",2019-2020,Completed,"Snapshots, Survey findings are available",Available,Available
Argentina,MICS6,"Latin America and Caribbean",Argentina,2019-2020,Completed,"Survey findings are available",Available,
Chad,MICS6,"West and Central Africa",Chad,2019,Completed,"Survey findings are available",Available,
"North Macedonia, Republic of",MICS6,"Europe and Central Asia","North Macedonia",2018-2019,Completed,"Snapshots, Survey findings are available",Available,
"Costa Rica",MICS6,"Latin America and Caribbean","Costa Rica",2018,Completed,"Snapshots, Survey findings are available",Available,
Kiribati,MICS6,"East Asia and Pacific",Kiribati,2018-2019,Completed,"Snapshots, Survey findings are available",Available,
Gambia,MICS6,"West and Central Africa",Gambia,2018,Completed,"Snapshots, Survey findings are available",Available,Available
Lesotho,MICS6,"Eastern and Southern Africa",Lesotho,2018,Completed,"Snapshots, Survey findings are available",Available,Available
Madagascar,MICS6,"Eastern and Southern Africa",Madagascar,2018,Completed,"Executive summary, Snapshots, Survey findings are available",Available,Available
Guinea-Bissau,MICS6,"West and Central Africa",Guinea-Bissau,2018-2019,Completed,"Snapshots, Survey findings are available",Available,
Mongolia,MICS6,"East Asia and Pacific",Mongolia,2018,Completed,"Infographic, Survey findings are available",Available,
Suriname,MICS6,"Latin America and Caribbean",Suriname,2018,Completed,"Snapshots, Survey findings are available",Available,
Georgia,MICS6,"Europe and Central Asia",Georgia,2018,Completed,"Snapshots, Survey findings are available",Available,Available
Algeria,MICS6,"Middle East and North Africa",Algeria,2018-2019,Completed,"Snapshots, Survey findings are available",Available,
Kyrgyzstan,MICS6,"Europe and Central Asia",Kyrgyzstan,2018,Completed,"Snapshots, Survey findings are available",Available,
Iraq,MICS6,"Middle East and North Africa",Iraq,2018,Completed,"Snapshots, Survey findings are available",Available,
"Pakistan (Sindh)",MICS6,"South Asia",Pakistan,2018-2019,Completed,"Snapshots, Survey findings are available",Available,
"Montenegro (Roma Settlements)",MICS6,"Europe and Central Asia",Montenegro,2018,Completed,"Snapshots, Survey findings are available",Available,
Montenegro,MICS6,"Europe and Central Asia",Montenegro,2018,Completed,"Snapshots, Survey findings are available",Available,
"Central African Republic",MICS6,"West and Central Africa","Central African Republic",2018-2019,Completed,"Snapshots, Survey findings are available",Available,
"North Macedonia, Republic of (Roma Settlements)",MICS6,"Europe and Central Asia","North Macedonia",2018-2019,Completed,"Snapshots, Survey findings are available",Available,
Tunisia,MICS6,"Middle East and North Africa",Tunisia,2018,Completed,"Snapshots, Survey findings are available",Available,
"Congo, Democratic Republic of the",MICS6,"West and Central Africa","Congo DR",2017-2018,Completed,"Snapshots, Survey findings are available",Available,
"Korea, Democratic People's Republic of",MICS6,"East Asia and Pacific","Korea DPR",2017,Completed,"Snapshots, Survey findings are available",Restricted,
Ghana,MICS6,"West and Central Africa",Ghana,2017-2018,Completed,"Snapshots, Survey findings are available",Available,
"Lao People's Democratic Republic",MICS6,"East Asia and Pacific","Lao People's Democratic Republic",2017,Completed,"Survey findings are available",Available,Available
"Sierra Leone",MICS6,"West and Central Africa","Sierra Leone",2017,Completed,"Snapshots, Survey findings are available",Available,Available
Togo,MICS6,"West and Central Africa",Togo,2017,Completed,"Survey findings are available",Available,
"Pakistan (Punjab)",MICS6,"South Asia",Pakistan,2017-2018,Completed,"Snapshots, Survey findings are available",Available,
"Pakistan (Gilgit-Baltistan)",MICS5,"South Asia",Pakistan,2016-2017,Completed,"Final Report, Key findings are available",Available,
"Pakistan (Khyber Pakhtunkhwa)",MICS5,"South Asia",Pakistan,2016-2017,Completed,"Final Report are available",Available,
Paraguay,MICS5,"Latin America and Caribbean",Paraguay,2016,Completed,"Final Report, Key findings are available",Available,
"Mongolia (Khuvsgul Aimag)",MICS5,"East Asia and Pacific",Mongolia,2016,Completed,"Final Report are available",Available,
"Mongolia (Nalaikh District)",MICS5,"East Asia and Pacific",Mongolia,2016,Completed,"Final Report are available",Available,
"Côte d'Ivoire",MICS5,"West and Central Africa","Cote d'Ivoire",2016,Completed,"Final Report are available",Available,
Guinea,MICS5,"West and Central Africa",Guinea,2016,Completed,"Final Report are available",Available,
Nigeria,MICS5,"West and Central Africa",Nigeria,2016-2017,Completed,"Final Report are available",Available,Available
Mexico,MICS5,"Latin America and Caribbean",Mexico,2015,Completed,"Final Report, Key findings are available",Available,
Kazakhstan,MICS5,"Europe and Central Asia",Kazakhstan,2015,Completed,"Final Report, Key findings are available",Available,
"Thailand (Bangkok Small Community)",MICS5,"East Asia and Pacific",Thailand,2015-2016,Completed,"Final Report are available",Available,
Thailand,MICS5,"East Asia and Pacific",Thailand,2015-2016,Completed,"Key findings, Survey findings are available",Available,
Mali,MICS5,"West and Central Africa",Mali,2015,Completed,"Final Report, Key findings are available",Available,
Mauritania,MICS5,"West and Central Africa",Mauritania,2015,Completed,"Final Report, Key findings are available",Available,
Turkmenistan,MICS5,"Europe and Central Asia",Turkmenistan,2015-2016,Completed,"Final Report, Key findings are available",Available,
Belize,MICS5,"Latin America and Caribbean",Belize,2015-2016,Completed,"Final Report, Key findings are available",Available,
"Senegal (Dakar City)",MICS5,"West and Central Africa",Senegal,2015-2016,Completed,"Final Report, Key findings are available",Available,
Nepal,MICS5,"South Asia",Nepal,2014,Completed,"Final Report, Key findings are available",Available,
"El Salvador",MICS5,"Latin America and Caribbean","El Salvador",2014,Completed,"Final Report, Key findings are available",Available,
Guyana,MICS5,"Latin America and Caribbean",Guyana,2014,Completed,"Final Report, Key findings are available",Available,
"Pakistan (Punjab)",MICS5,"South Asia",Pakistan,2014,Completed,"Final Report, Key findings are available",Available,
Zimbabwe,MICS5,"Eastern and Southern Africa",Zimbabwe,2014,Completed,"Final Report, Key findings are available",Available,
"Pakistan (Sindh)",MICS5,"South Asia",Pakistan,2014,Completed,"Final Report, Key findings are available",Available,
Benin,MICS5,"West and Central Africa",Benin,2014,Completed,"Final Report, Key findings are available",Available,
Cameroon,MICS5,"West and Central Africa",Cameroon,2014,Completed,"Final Report, Key findings are available",Available,
Oman,MICS5,"Middle East and North Africa",Oman,2014,Completed,"Final Report, Key findings are available",Restricted,
Congo,MICS5,"West and Central Africa",Congo,2014-2015,Completed,"Final Report, Key findings are available",Available,
Kyrgyzstan,MICS5,"Europe and Central Asia",Kyrgyzstan,2014,Completed,"Final Report, Key findings are available",Available,
"State of Palestine",MICS5,"Middle East and North Africa","State of Palestine",2014,Completed,"Final Report, Key findings are available",Available,
Sudan,MICS5,"Middle East and North Africa",Sudan,2014,Completed,"Final Report, Key findings are available",Available,
Guinea-Bissau,MICS5,"West and Central Africa",Guinea-Bissau,2014,Completed,"Final Report, Key findings are available",Available,
"Serbia (Roma Settlements)",MICS5,"Europe and Central Asia",Serbia,2014,Completed,"Final Report, Key findings are available",Available,
Serbia,MICS5,"Europe and Central Asia",Serbia,2014,Completed,"Final Report, Key findings are available",Available,
Eswatini,MICS5,"Eastern and Southern Africa",Eswatini,2014,Completed,"Final Report, Key findings are available",Available,
"Sao Tome and Principe",MICS5,"West and Central Africa","Sao Tome & Principe",2014,Completed,"Biomarker, Final Report, Key findings are available",Available,
Cuba,MICS5,"Latin America and Caribbean",Cuba,2014,Completed,"Final Report, Key findings are available",Available,
"Dominican Republic",MICS5,"Latin America and Caribbean","Dominican Republic",2014,Completed,"Final Report, Key findings are available",Available,
"Kenya (Kakamega County)",MICS5,"Eastern and Southern Africa",Kenya,2013-2014,Completed,"Final Report, Key findings are available",Available,
"Kenya (Turkana County)",MICS5,"Eastern and Southern Africa",Kenya,2013-2014,Completed,"Final Report, Key findings are available",Available,
Malawi,MICS5,"Eastern and Southern Africa",Malawi,2013-2014,Completed,"Final Report, Key findings are available",Available,
Panama,MICS5,"Latin America and Caribbean",Panama,2013,Completed,"Key findings are available",Available,
"Kosovo under UNSC res. 1244 (Roma, Ashkali, and Egyptian Communities)",MICS5,"Europe and Central Asia","Kosovo (UNSC 1244)",2013-2014,Completed,"Final Report, Key findings, Summary are available",Available,
"Egypt (Sub-national)",MICS5,"Middle East and North Africa",Egypt,2013-2014,Completed,"Final Report, Key findings are available",Available,
"Kosovo under UNSC res. 1244",MICS5,"Europe and Central Asia","Kosovo (UNSC 1244)",2013-2014,Completed,"Final Report, Key findings, Summary are available",Available,Available
"Montenegro (Roma Settlements)",MICS5,"Europe and Central Asia",Montenegro,2013,Completed,"Final Report, Key findings are available",Available,
Mongolia,MICS5,"East Asia and Pacific",Mongolia,2013-2014,Completed,"Final Report, Key findings are available",Available,
Montenegro,MICS5,"Europe and Central Asia",Montenegro,2013,Completed,"Final Report, Key findings are available",Available,
"Viet Nam",MICS5,"East Asia and Pacific","Viet Nam",2013-2014,Completed,"Final Report, Key findings are available",Available,
"Kenya (Bungoma County)",MICS5,"Eastern and Southern Africa",Kenya,2013-2014,Completed,"Final Report, Key findings are available",Available,
"Saint Lucia",MICS4,"Latin America and Caribbean","Saint Lucia",2012,Completed,"Final Report are available",Available,
"Madagascar (South)",MICS4,"Eastern and Southern Africa",Madagascar,2012,Completed,"Final Report are available",Available,
Uruguay,MICS4,"Latin America and Caribbean",Uruguay,2012-2013,Completed,"Final Report, Key findings are available",Available,
"Moldova, Republic of",MICS4,"Europe and Central Asia",Moldova,2012,Completed,"Final Report, Summary are available",Available,
Algeria,MICS4,"Middle East and North Africa",Algeria,2012-2013,Completed,"Final Report are available",Available,
Belarus,MICS4,"Europe and Central Asia",Belarus,2012,Completed,"Final Report are available",Available,
Qatar,MICS4,"Middle East and North Africa",Qatar,2012,Completed,"Final Report are available",Available,
"Mongolia (Khuvsgul Aimag)",MICS4,"East Asia and Pacific",Mongolia,2012,Completed,"Final Report are available",Available,
Ukraine,MICS4,"Europe and Central Asia",Ukraine,2012,Completed,"Final Report, Key findings are available",Available,
"Mongolia (Nalaikh District)",MICS4,"East Asia and Pacific",Mongolia,2012,Completed,"Final Report are available",Available,
Barbados,MICS4,"Latin America and Caribbean",Barbados,2012,Completed,"Final Report are available",Available,
Thailand,MICS4,"East Asia and Pacific",Thailand,2012-2013,Completed,"Final Report, Summary are available",Available,
Bangladesh,MICS5,"South Asia",Bangladesh,2012-2013,Completed,"Final Report, Key findings are available",Available,
"Somalia (Northeast Zone)",MICS4,"Eastern and Southern Africa",Somalia,2011,Completed,"Final Report are available",Available,
"Bosnia and Herzegovina",MICS4,"Europe and Central Asia","Bosnia & Herzegovina",2011-2012,Completed,"Final Report are available",Available,
"Trinidad and Tobago",MICS4,"Latin America and Caribbean","Trinidad & Tobago",2011,Completed,"Final Report are available",Available,
"Somalia (Somaliland)",MICS4,"Eastern and Southern Africa",Somalia,2011,Completed,"Final Report are available",Available,
Mauritania,MICS4,"West and Central Africa",Mauritania,2011,Completed,"Final Report, Summary are available",Available,
Nigeria,MICS4,"West and Central Africa",Nigeria,2011,Completed,"Final Report, Summary are available",Available,
"Indonesia (Papua Selected Districts)",MICS4,"East Asia and Pacific",Indonesia,2011,Completed,"Final Report are available",Available,
"North Macedonia, Republic of (Roma Settlements)",MICS4,"Europe and Central Asia","North Macedonia",2011,Completed,"Final Report are available",Available,
Iraq,MICS4,"Middle East and North Africa",Iraq,2011,Completed,"Final Report are available",Available,
"Indonesia (West Papua Selected Districts)",MICS4,"East Asia and Pacific",Indonesia,2011,Completed,"Final Report are available",Available,
"Bosnia and Herzegovina (Roma Settlements)",MICS4,"Europe and Central Asia","Bosnia & Herzegovina",2011-2012,Completed,"Final Report are available",Available,
Tunisia,MICS4,"Middle East and North Africa",Tunisia,2011-2012,Completed,"Final Report, Summary are available",Available,
"North Macedonia, Republic of",MICS4,"Europe and Central Asia","North Macedonia",2011,Completed,"Final Report are available",Available,
"Lebanon (Palestinians)",MICS4,"Middle East and North Africa",Lebanon,2011,Completed,"Final Report, Preliminary are available",Available,
"Lao People's Democratic Republic",MICS4,"East Asia and Pacific","Lao People's Democratic Republic",2011-2012,Completed,"Final Report are available",Available,
Argentina,MICS4,"Latin America and Caribbean",Argentina,2011-2012,Completed,"Final Report are available",Available,
"Pakistan (Punjab)",MICS4,"South Asia",Pakistan,2011,Completed,"Final Report are available",Available,
Belize,MICS4,"Latin America and Caribbean",Belize,2011,Completed,"Final Report are available",Available,
"Costa Rica",MICS4,"Latin America and Caribbean","Costa Rica",2011,Completed,"Final Report are available",Available,
Jamaica,MICS4,"Latin America and Caribbean",Jamaica,2011,Completed,"Final Report are available",Available,
"Kenya (Nyanza Province)",MICS4,"Eastern and Southern Africa",Kenya,2011,Completed,"Final Report are available",Available,
Ghana,MICS4,"West and Central Africa",Ghana,2011,Completed,"Final Report, Summary are available",Available,
Guinea-Bissau,MICS4,"West and Central Africa",Guinea-Bissau,2010,Completed,"Final Report are available",Available,
