survey,round,region,country,year,status,reports,"mics datasets",gis
Suriname,MICS4,"Latin America and Caribbean",Suriname,2010,Completed,"Final Report are available",Available,
Kazakhstan,MICS4,"Europe and Central Asia",Kazakhstan,2010-2011,Completed,"Final Report are available",Available,
"South Sudan, Republic of",MICS4,"Eastern and Southern Africa","South Sudan",2010,Completed,"Final Report are available",Available,
"Sierra Leone",MICS4,"West and Central Africa","Sierra Leone",2010,Completed,"Final Report are available",Available,
Togo,MICS4,"West and Central Africa",Togo,2010,Completed,"Final Report are available",Available,
Afghanistan,MICS4,"South Asia",Afghanistan,2010-2011,Completed,"Final Report are available",Available,
"Congo, Democratic Republic of the",MICS4,"West and Central Africa","Congo DR",2010,Completed,"Summary are available",Available,
"Serbia (Roma Settlements)",MICS4,"Europe and Central Asia",Serbia,2010,Completed,"Final Report are available",Available,
Bhutan,MICS4,"South Asia",Bhutan,2010,Completed,"Final Report are available",Available,
Serbia,MICS4,"Europe and Central Asia",Serbia,2010,Completed,"Final Report are available",Available,
"State of Palestine",MICS4,"Middle East and North Africa","State of Palestine",2010,Completed,"Final Report are available",Available,
"Nepal (Mid- and Far-Western Regions)",MICS4,"South Asia",Nepal,2010,Completed,"Final Report are available",Available,
Sudan,MICS4,"Middle East and North Africa",Sudan,2010,Completed,"Final Report, Summary are available",Available,
"Pakistan (Balochistan)",MICS4,"South Asia",Pakistan,2010,Completed,"Final Report are available",Available,
Mongolia,MICS4,"East Asia and Pacific",Mongolia,2010,Completed,"Final Report are available",Available,
"Central African Republic",MICS4,"West and Central Africa","Central African Republic",2010,Completed,"Biomarker, Final Report, Summary are available",Available,
"Viet Nam",MICS4,"East Asia and Pacific","Viet Nam",2010-2011,Completed,"Final Report are available",Available,
Chad,MICS4,"West and Central Africa",Chad,2010,Completed,"Final Report, Summary are available",Available,
Eswatini,MICS4,"Eastern and Southern Africa",Eswatini,2010,Completed,"Final Report are available",Available,
Gambia,MICS4,"West and Central Africa",Gambia,2010,Completed,"Final Report are available",Available,
Cuba,MICS4,"Latin America and Caribbean",Cuba,2010-2011,Completed,"Final Report are available",Available,
"Ghana (Accra)",MICS4,"West and Central Africa",Ghana,2010-2011,Completed,"Final Report are available",Available,
Mali,MICS4,"West and Central Africa",Mali,2009-2010,Completed,"Final Report are available",Available,
Zimbabwe,MICS3,"Eastern and Southern Africa",Zimbabwe,2009,Completed,"Final Report are available",Available,
"Korea, Democratic People's Republic of",MICS4,"East Asia and Pacific","Korea DPR",2009,Completed,"Final Report are available",Restricted,
"Myanmar, Republic of the Union of",MICS3,"East Asia and Pacific",Myanmar,2009-2010,Completed,"Final Report are available","Not available",
"Kenya (Mombasa Informal Settlements)",MICS4,"Eastern and Southern Africa",Kenya,2009,Completed,"Final Report are available",Available,
Mozambique,MICS3,"Eastern and Southern Africa",Mozambique,2008,Completed,"Final Report are available",Available,
"Kenya (Eastern Province)",MICS3,"Eastern and Southern Africa",Kenya,2008,Completed,"Final Report are available","Not available",
Nigeria,MICS3,"West and Central Africa",Nigeria,2007,Completed,"Final Report are available",Available,
Vanuatu,MICS3,"East Asia and Pacific",Vanuatu,2007-2008,Completed,"Final Report are available",Available,
"Ghana (District)",MICS3,"West and Central Africa",Ghana,2007-2008,Completed,"Final Report are available","Not available",
Mauritania,MICS3,"West and Central Africa",Mauritania,2007,Completed,"Final Report are available",Available,
Algeria,MICS3,"Middle East and North Africa",Algeria,2006,Completed,"Final Report are available","Not available",
Somalia,MICS3,"Eastern and Southern Africa",Somalia,2006,Completed,"Final Report are available",Available,
"Sao Tome and Principe",MICS3,"West and Central Africa","Sao Tome & Principe",2006,Completed,"Final Report are available","Not available",
Djibouti,MICS3,"Middle East and North Africa",Djibouti,2006,Completed,"Final Report are available",Available,
Iraq,MICS3,"Middle East and North Africa",Iraq,2006,Completed,"Final Report are available",Available,
Togo,MICS3,"West and Central Africa",Togo,2006,Completed,"Final Report are available",Available,
"Syrian Arab Republic (Palestinian Refugee Camps and Gatherings)",MICS3,"Middle East and North Africa",Syria,2006,Completed,"Final Report are available","Not available",
"Bosnia and Herzegovina",MICS3,"Europe and Central Asia","Bosnia & Herzegovina",2006,Completed,"Final Report are available",Available,
"Syrian Arab Republic",MICS3,"Middle East and North Africa",Syria,2006,Completed,"Final Report are available",Available,
Tunisia,MICS3,"Middle East and North Africa",Tunisia,2006,Completed,"Final Report are available","Not available",
"Lao People's Democratic Republic",MICS3,"East Asia and Pacific","Lao People's Democratic Republic",2006,Completed,"Final Report are available",Available,
Kazakhstan,MICS3,"Europe and Central Asia",Kazakhstan,2006,Completed,"Final Report are available",Available,
Turkmenistan,MICS3,"Europe and Central Asia",Turkmenistan,2006,Completed,"Final Report are available",Available,
Yemen,MICS3,"Middle East and North Africa",Yemen,2006,Completed,"Final Report are available",Available,
Bangladesh,MICS3,"South Asia",Bangladesh,2006,Completed,"Final Report are available",Available,
Uzbekistan,MICS3,"Europe and Central Asia",Uzbekistan,2006,Completed,"Final Report are available",Available,
"Burkina Faso",MICS3,"West and Central Africa","Burkina Faso",2006,Completed,"Final Report are available",Available,
Belize,MICS3,"Latin America and Caribbean",Belize,2006,Completed,"Final Report are available",Available,
Cameroon,MICS3,"West and Central Africa",Cameroon,2006,Completed,"Final Report are available",Available,
Cuba,MICS3,"Latin America and Caribbean",Cuba,2006,Completed,"Final Report are available",Available,
"Central African Republic",MICS3,"West and Central Africa","Central African Republic",2006,Completed,"Final Report are available",Available,
"Viet Nam",MICS3,"East Asia and Pacific","Viet Nam",2006,Completed,"Final Report are available",Available,
Guyana,MICS3,"Latin America and Caribbean",Guyana,2006-2007,Completed,"Final Report are available",Available,
"Côte d'Ivoire",MICS3,"West and Central Africa","Cote d'Ivoire",2006,Completed,"Final Report are available",Available,
Guinea-Bissau,MICS3,"West and Central Africa",Guinea-Bissau,2006,Completed,"Final Report are available",Available,
Suriname,MICS3,"Latin America and Caribbean",Suriname,2006,Completed,"Final Report are available",Available,
Malawi,MICS3,"Eastern and Southern Africa",Malawi,2006,Completed,"Final Report are available",Available,
"Trinidad and Tobago",MICS3,"Latin America and Caribbean","Trinidad & Tobago",2006,Completed,"Final Report are available",Available,
Ghana,MICS3,"West and Central Africa",Ghana,2006,Completed,"Final Report are available",Available,
"Sierra Leone",MICS3,"West and Central Africa","Sierra Leone",2005-2006,Completed,"Final Report are available",Available,
Albania,MICS3,"Europe and Central Asia",Albania,2005,Completed,"Final Report are available",Available,
"Lebanon (Palestinians)",MICS3,"Middle East and North Africa",Lebanon,2005-2006,Completed,"Final Report are available",Available,
Belarus,MICS3,"Europe and Central Asia",Belarus,2005,Completed,"Final Report are available",Available,
Georgia,MICS3,"Europe and Central Asia",Georgia,2005,Completed,"Final Report are available",Available,
Mongolia,MICS3,"East Asia and Pacific",Mongolia,2005,Completed,"Final Report are available",Available,
Kyrgyzstan,MICS3,"Europe and Central Asia",Kyrgyzstan,2005-2006,Completed,"Final Report are available",Available,
Ukraine,MICS3,"Europe and Central Asia",Ukraine,2005,Completed,"Final Report are available",Available,
Montenegro,MICS3,"Europe and Central Asia",Montenegro,2005-2006,Completed,"Final Report are available",Available,
Thailand,MICS3,"East Asia and Pacific",Thailand,2005-2006,Completed,"Final Report are available",Available,
"North Macedonia, Republic of",MICS3,"Europe and Central Asia","North Macedonia",2005-2006,Completed,"Final Report are available",Available,
Serbia,MICS3,"Europe and Central Asia",Serbia,2005-2006,Completed,"Final Report are available",Available,
Tajikistan,MICS3,"Europe and Central Asia",Tajikistan,2005,Completed,"Final Report are available",Available,
Burundi,MICS3,"Eastern and Southern Africa",Burundi,2005,Completed,"Final Report are available",Available,
Jamaica,MICS3,"Latin America and Caribbean",Jamaica,2005,Completed,"Final Report are available",Available,
Gambia,MICS3,"West and Central Africa",Gambia,2005-2006,Completed,"Final Report are available",Available,
Afghanistan,MICS2,"South Asia",Afghanistan,2003,Completed,"Final Report are available","Not available",
Libya,MICS2,"Middle East and North Africa",Libya,2003,Completed,"Preliminary are available","Not available",
Maldives,MICS2,"South Asia",Maldives,2001,Completed,"Final Report are available","Not available",
Angola,MICS2,"Eastern and Southern Africa",Angola,2001,Completed,"Final Report are available",Available,
"Lebanon (Palestinians)",MICS2,"Middle East and North Africa",Lebanon,2001,Completed,"Final Report are available","Not available",
"Congo, Democratic Republic of the",MICS2,"West and Central Africa","Congo DR",2001,Completed,"Final Report are available",Available,
"Sudan (including current South Sudan, Republic of)",MICS2,"Eastern and Southern Africa, Middle East and North Africa","South Sudan, Sudan",2000,Completed,"Final Report are available",Available,
Niger,MICS2,"West and Central Africa",Niger,2000,Completed,"Final Report are available",Available,
"Syrian Arab Republic (Palestinian Refugee Camps and Gatherings)",MICS2,"Middle East and North Africa",Syria,2000,Completed,"Final Report are available","Not available",
Tajikistan,MICS2,"Europe and Central Asia",Tajikistan,2000,Completed,"Final Report are available",Available,
"Syrian Arab Republic",MICS2,"Middle East and North Africa",Syria,2000,Completed,"Preliminary are available","Not available",
Ukraine,MICS2,"Europe and Central Asia",Ukraine,2000,Completed,"Final Report are available","Not available",
Tunisia,MICS2,"Middle East and North Africa",Tunisia,2000,Completed,"Final Report are available","Not available",
"Sao Tome and Principe",MICS2,"West and Central Africa","Sao Tome & Principe",2000,Completed,"Final Report are available",Available,
Uzbekistan,MICS2,"Europe and Central Asia",Uzbekistan,2000,Completed,"Final Report are available",Available,
Indonesia,MICS2,"East Asia and Pacific",Indonesia,2000,Completed,"Final Report are available",Available,
"Afghanistan (Selected Regions of East)",MICS2,"South Asia",Afghanistan,2000,Completed,"Final Report are available","Not available",
Senegal,MICS2,"West and Central Africa",Senegal,2000,Completed,"Final Report are available",Available,
"Yugoslavia, The Federal Republic of (including current Serbia and Montenegro)",MICS2,"Europe and Central Asia","Montenegro, Serbia",2000,Completed,"Final Report are available","Not available",
"Korea, Democratic People's Republic of",MICS2,"East Asia and Pacific","Korea DPR",2000,Completed,"Final Report are available","Not available",
"Sierra Leone",MICS2,"West and Central Africa","Sierra Leone",2000,Completed,"Final Report are available",Available,
Kenya,MICS2,"Eastern and Southern Africa",Kenya,2000,Completed,"Preliminary are available",Available,
"Bolivia, Plurinational State of",MICS2,"Latin America and Caribbean",Bolivia,2000,Completed,"Final Report are available",Available,
"Lao People's Democratic Republic",MICS2,"East Asia and Pacific","Lao People's Democratic Republic",2000,Completed,"Final Report are available",Available,
India,MICS2,"South Asia",India,2000,Completed,"Final Report are available","Not available",
Togo,MICS2,"West and Central Africa",Togo,2000,Completed,"Final Report are available",Available,
Lesotho,MICS2,"Eastern and Southern Africa",Lesotho,2000,Completed,"Final Report are available",Available,
Cuba,MICS2,"Latin America and Caribbean",Cuba,2000,Completed,"Final Report are available","Not available",
Mongolia,MICS2,"East Asia and Pacific",Mongolia,2000,Completed,"Final Report are available",Available,
Madagascar,MICS2,"Eastern and Southern Africa",Madagascar,2000,Completed,"Final Report are available",Available,
"Dominican Republic",MICS2,"Latin America and Caribbean","Dominican Republic",2000,Completed,"Final Report are available",Available,
"Myanmar, Republic of the Union of",MICS2,"East Asia and Pacific",Myanmar,2000,Completed,"Final Report are available",Available,
Cameroon,MICS2,"West and Central Africa",Cameroon,2000,Completed,"Final Report are available",Available,
Rwanda,MICS2,"Eastern and Southern Africa",Rwanda,2000,Completed,"Final Report are available",Available,
Guyana,MICS2,"Latin America and Caribbean",Guyana,2000,Completed,"Final Report are available",Available,
"Central African Republic",MICS2,"West and Central Africa","Central African Republic",2000,Completed,"Final Report are available",Available,
Somalia,MICS2,"Eastern and Southern Africa",Somalia,2000,Completed,"Final Report are available","Not available",
"Viet Nam",MICS2,"East Asia and Pacific","Viet Nam",2000,Completed,"Final Report are available",Available,
Iraq,MICS2,"Middle East and North Africa",Iraq,2000,Completed,"Final Report are available",Available,
Chad,MICS2,"West and Central Africa",Chad,2000,Completed,"Final Report are available",Available,
"Trinidad and Tobago",MICS2,"Latin America and Caribbean","Trinidad & Tobago",2000,Completed,"Final Report are available",Available,
Albania,MICS2,"Europe and Central Asia",Albania,2000,Completed,"Final Report are available",Available,
"Venezuela, Bolivarian Republic of",MICS2,"Latin America and Caribbean",Venezuela,2000,Completed,"Final Report are available",Available,
Botswana,MICS2,"Eastern and Southern Africa",Botswana,2000,Completed,"Final Report are available",Available,
Lebanon,MICS2,"Middle East and North Africa",Lebanon,2000,Completed,"Preliminary are available","Not available",
"Côte d'Ivoire",MICS2,"West and Central Africa","Cote d'Ivoire",2000,Completed,"Final Report are available",Available,
Azerbaijan,MICS2,"Europe and Central Asia",Azerbaijan,2000,Completed,"Final Report are available",Available,
Algeria,MICS2,"Middle East and North Africa",Algeria,2000,Completed,"Final Report are available","Not available",
Burundi,MICS2,"Eastern and Southern Africa",Burundi,2000,Completed,"Final Report are available",Available,
"Equatorial Guinea",MICS2,"West and Central Africa","Equatorial Guinea",2000,Completed,"Final Report are available",Available,
"Bosnia and Herzegovina",MICS2,"Europe and Central Asia","Bosnia & Herzegovina",2000,Completed,"Final Report are available",Available,
Bahrain,MICS2,"Middle East and North Africa",Bahrain,2000,Completed,"Not available","Not available",
Comoros,MICS2,"Eastern and Southern Africa",Comoros,2000,Completed,"Final Report are available",Available,
"State of Palestine (West Bank and Gaza Strip)",MICS2,"Middle East and North Africa","State of Palestine",2000,Completed,"Final Report are available","Not available",
Gambia,MICS2,"West and Central Africa",Gambia,2000,Completed,"Final Report are available",Available,
Eswatini,MICS2,"Eastern and Southern Africa",Eswatini,2000,Completed,"Final Report are available",Available,
Guinea-Bissau,MICS2,"West and Central Africa",Guinea-Bissau,2000,Completed,"Final Report are available",Available,
"Moldova, Republic of",MICS2,"Europe and Central Asia",Moldova,2000,Completed,"Final Report are available",Available,
"North Macedonia, Republic of",MICS2,"Europe and Central Asia","North Macedonia",1999,Completed,"Final Report are available","Not available",
Nigeria,MICS2,"West and Central Africa",Nigeria,1999,Completed,"Final Report are available","Not available",
Philippines,MICS2,"East Asia and Pacific",Philippines,1999,Completed,"Final Report are available",Available,
Suriname,MICS2,"Latin America and Caribbean",Suriname,1999-2000,Completed,"Final Report are available",Available,
Zambia,MICS2,"Eastern and Southern Africa",Zambia,1999,Completed,"Final Report are available",Available,
Georgia,MICS2,"Europe and Central Asia",Georgia,1999,Completed,"Final Report are available","Not available",
"Sudan (South, including current South Sudan, Republic of)",MICS2,"Eastern and Southern Africa","South Sudan",1999,Completed,"Final Report are available","Not available",
"Korea, Democratic People's Republic of",MICS1,"East Asia and Pacific","Korea DPR",1998,Completed,"Final Report are available","Not available",
Afghanistan,MICS1,"South Asia",Afghanistan,1997,Completed,"Final Report are available","Not available",
"Somalia (Northeast Zone)",MICS1,"Eastern and Southern Africa",Somalia,1997,Completed,"Final Report are available","Not available",
"Iran, Islamic Republic of",MICS1,"Middle East and North Africa",Iran,1997,Completed,"Final Report are available","Not available",
Senegal,MICS1,"West and Central Africa",Senegal,1996,Completed,"Final Report are available","Not available",
"Burkina Faso",MICS1,"West and Central Africa","Burkina Faso",1996,Completed,"Final Report are available","Not available",
"Central African Republic",MICS1,"West and Central Africa","Central African Republic",1996,Completed,"Final Report are available","Not available",
Togo,MICS1,"West and Central Africa",Togo,1996,Completed,"Final Report are available","Not available",
Indonesia,MICS1,"East Asia and Pacific",Indonesia,1996,Completed,"Final Report are available","Not available",
"Yugoslavia, The Federal Republic of (including current Serbia, Montenegro, and Kosovo under UNSC res. 1244)",MICS1,"Europe and Central Asia","Kosovo (UNSC 1244), Montenegro, Serbia",1996,Completed,"Final Report are available","Not available",
"Côte d'Ivoire",MICS1,"West and Central Africa","Cote d'Ivoire",1996,Completed,"Final Report are available","Not available",
"Somalia (Northwest Zone - Somaliland)",MICS1,"Eastern and Southern Africa",Somalia,1996,Completed,"Final Report are available","Not available",
"Bolivia, Plurinational State of",MICS1,"Latin America and Caribbean",Bolivia,1996,Completed,"Final Report are available","Not available",
Gabon,MICS1,"West and Central Africa",Gabon,1996,Completed,"Final Report are available","Not available",
"Lao People's Democratic Republic",MICS1,"East Asia and Pacific","Lao People's Democratic Republic",1996,Completed,"Final Report are available","Not available",
"Tanzania, United Republic of",MICS1,"Eastern and Southern Africa",Tanzania,1996,Completed,"Final Report are available","Not available",
Panama,MICS1,"Latin America and Caribbean",Panama,1996,Completed,"Final Report are available","Not available",
Mongolia,MICS1,"East Asia and Pacific",Mongolia,1996,Completed,"Final Report are available","Not available",
Gambia,MICS1,"West and Central Africa",Gambia,1996,Completed,"Final Report are available","Not available",
Croatia,MICS1,"Europe and Central Asia",Croatia,1996,Completed,"Final Report are available","Not available",
Egypt,MICS1,"Middle East and North Africa",Egypt,1996,Completed,"Final Report are available","Not available",
Philippines,MICS1,"East Asia and Pacific",Philippines,1996,Completed,"Final Report are available","Not available",
Guinea-Bissau,MICS1,"West and Central Africa",Guinea-Bissau,1996,Completed,"Final Report are available","Not available",
"Viet Nam",MICS1,"East Asia and Pacific","Viet Nam",1996,Completed,"Final Report are available","Not available",
Guinea,MICS1,"West and Central Africa",Guinea,1996,Completed,"Final Report are available","Not available",
Angola,MICS1,"Eastern and Southern Africa",Angola,1996,Completed,"Final Report are available","Not available",
Iraq,MICS1,"Middle East and North Africa",Iraq,1996,Completed,"Final Report are available","Not available",
Burundi,MICS1,"Eastern and Southern Africa",Burundi,1996,Completed,"Final Report are available","Not available",
Mali,MICS1,"West and Central Africa",Mali,1996,Completed,"Final Report are available","Not available",
"State of Palestine (West Bank and Gaza Strip)",MICS1,"Middle East and North Africa","State of Palestine",1996,Completed,"Final Report are available","Not available",
Niger,MICS1,"West and Central Africa",Niger,1996,Completed,"Final Report are available","Not available",
"Kenya (20 of 56 districts)",MICS1,"Eastern and Southern Africa",Kenya,1996,Completed,"Final Report are available","Not available",
Lesotho,MICS1,"Eastern and Southern Africa",Lesotho,1996,Completed,"Final Report are available","Not available",
"Sao Tome and Principe",MICS1,"West and Central Africa","Sao Tome & Principe",1996,Completed,"Final Report are available","Not available",
Yemen,MICS1,"Middle East and North Africa",Yemen,1996,Completed,"Summary are available","Not available",
Madagascar,MICS1,"Eastern and Southern Africa",Madagascar,1995,Completed,"Final Report are available","Not available",
Malawi,MICS1,"Eastern and Southern Africa",Malawi,1995,Completed,"Final Report are available","Not available",
"Sierra Leone",MICS1,"West and Central Africa","Sierra Leone",1995,Completed,"Final Report are available","Not available",
China,MICS1,"East Asia and Pacific",China,1995,Completed,"Final Report are available","Not available",
Mozambique,MICS1,"Eastern and Southern Africa",Mozambique,1995,Completed,"Final Report are available","Not available",
Türkiye,MICS1,"Europe and Central Asia",Turkiye,1995,Completed,"Preliminary are available","Not available",
Bangladesh,MICS1,"South Asia",Bangladesh,1995,Completed,"Final Report are available","Not available",
"Congo, Democratic Republic of the",MICS1,"West and Central Africa","Congo DR",1995,Completed,"Final Report are available","Not available",
India,MICS1,"South Asia",India,1995-1996,Completed,"Summary are available","Not available",
Maldives,MICS1,"South Asia",Maldives,1995,Completed,"Final Report are available","Not available",
Zambia,MICS1,"Eastern and Southern Africa",Zambia,1995,Completed,"Final Report are available","Not available",
Algeria,MICS1,"Middle East and North Africa",Algeria,1995,Completed,"Final Report are available","Not available",
"Myanmar, Republic of the Union of",MICS1,"East Asia and Pacific",Myanmar,1995,Completed,"Final Report are available","Not available",
Ghana,MICS1,"West and Central Africa",Ghana,1995,Completed,"Summary are available","Not available",
Kyrgyzstan,MICS1,"Europe and Central Asia",Kyrgyzstan,1995,Completed,"Final Report are available","Not available",
"Iran, Islamic Republic of",MICS1,"Middle East and North Africa",Iran,1995,Completed,"Final Report are available","Not available",
Turkmenistan,MICS1,"Europe and Central Asia",Turkmenistan,1995,Completed,"Final Report are available","Not available",
Liberia,MICS1,"West and Central Africa",Liberia,1995,Completed,"Final Report are available","Not available",
Oman,MICS1,"Middle East and North Africa",Oman,1995,Completed,"Final Report are available","Not available",
Eswatini,MICS1,"Eastern and Southern Africa",Eswatini,1995,Completed,"Final Report are available","Not available",
Mauritania,MICS1,"West and Central Africa",Mauritania,1995-1996,Completed,"Final Report are available","Not available",
Ethiopia,MICS1,"Eastern and Southern Africa",Ethiopia,1995,Completed,"Final Report are available","Not available",
"Sudan (including current South Sudan, Republic of)",MICS1,"Eastern and Southern Africa, Middle East and North Africa","South Sudan, Sudan",1995,Completed,"Final Report are available","Not available",
Nigeria,MICS1,"West and Central Africa",Nigeria,1995,Completed,"Final Report are available","Not available",
"Syrian Arab Republic",MICS1,"Middle East and North Africa",Syria,1995,Completed,"Final Report are available","Not available",
"Nepal (Six Cycles)",MICS1,"South Asia",Nepal,1995-1997,Completed,"Final Report are available","Not available",
Pakistan,MICS1,"South Asia",Pakistan,1995,Completed,"Final Report are available","Not available",
Bangladesh,MICS1,"South Asia",Bangladesh,1993,Completed,"Final Report are available","Not available",
